This file is created using RaceChrono v9.1.3 ( http://racechrono.com/ ).
Format,2,"Format 1 = static columns","Format 2 = new format with dynamic columns; only channel header string is fixed, number of columns and channels' column numbers are variable."
Session title,"Novo circuito"
Session type,Lap timing
Track name,"Novo circuito"
Driver name,
Export scope,Session start
Created,22/02/2026,20:10
Note,

Time (s),Session fragment #,Lap #,Trap name,X-position (m),Y-position (m),Distance (m),Speed (m/s),Altitude (m),Bearing (deg),Device update rate (Hz),Elapsed time (s),Latitude (deg),Longitude (deg),Satellites (sats),Fix type,Accuracy (m),Speed (m/s) *calc,Lateral acceleration (G) *calc,Longitudinal acceleration (G) *calc,Device update rate (Hz) *calc
1771791048.440,0,,,-0.000,-0.000,0.823,7.353,176.719,309.740,,0.050,40.3978439,-8.1809814,7,1,6.750,7.353,,,20.0
1771791048.490,0,,,-0.539,0.622,1.646,7.388,176.737,309.740,,0.100,40.3978495,-8.1809877,7,1,6.701,7.388,,,20.0
1771791048.540,0,,,-1.078,1.243,2.468,7.424,176.756,309.740,,0.150,40.3978551,-8.1809941,7,1,6.651,7.424,,,20.0
1771791048.590,0,,,-1.617,1.865,3.291,7.460,176.775,309.740,,0.200,40.3978607,-8.1810005,7,1,6.601,7.460,,,20.0
1771791048.640,0,,,-2.156,2.486,4.114,7.496,176.793,309.740,,0.250,40.3978663,-8.1810068,7,1,6.552,7.496,,,20.0
1771791048.690,0,,,-2.696,3.108,4.937,7.531,176.812,309.740,,0.300,40.3978719,-8.1810132,8,1,6.502,7.531,,,20.0
1771791048.740,0,,,-3.235,3.730,5.760,7.567,176.830,309.740,,0.350,40.3978775,-8.1810196,8,1,6.452,7.567,,,20.0
1771791048.790,0,,,-3.774,4.351,6.583,7.603,176.849,309.740,,0.400,40.3978831,-8.1810259,8,1,6.402,7.603,,,20.0
1771791048.840,0,,,-4.313,4.973,7.405,7.638,176.868,309.740,,0.450,40.3978886,-8.1810323,8,1,6.353,7.638,,,20.0
1771791048.890,0,,,-4.852,5.594,8.228,7.674,176.886,309.740,,0.500,40.3978942,-8.1810387,8,1,6.303,7.674,,,20.0
1771791048.940,0,,,-5.391,6.216,9.051,7.710,176.905,309.740,,0.550,40.3978998,-8.1810450,8,1,6.253,7.710,,,20.0
1771791048.990,0,,,-5.930,6.837,9.874,7.746,176.924,309.740,,0.600,40.3979054,-8.1810514,8,1,6.204,7.746,,,20.0
1771791049.040,0,,,-6.469,7.459,10.697,7.781,176.942,309.740,,0.650,40.3979110,-8.1810578,8,1,6.154,7.781,,,20.0
1771791049.090,0,,,-7.009,8.081,11.520,7.817,176.961,309.740,,0.700,40.3979166,-8.1810641,8,1,6.104,7.817,,,20.0
1771791049.140,0,,,-7.548,8.702,12.342,7.853,176.980,309.740,,0.750,40.3979222,-8.1810705,8,1,6.055,7.853,,,20.0
1771791049.190,0,,,-8.087,9.324,13.165,7.888,176.998,309.740,,0.800,40.3979278,-8.1810769,8,1,6.005,7.888,,,20.0
1771791049.240,0,,,-8.626,9.945,13.988,7.924,177.017,309.740,,0.850,40.3979334,-8.1810832,9,1,5.955,7.924,,,20.0
1771791049.290,0,,,-9.165,10.567,14.811,7.960,177.035,309.740,,0.900,40.3979390,-8.1810896,9,1,5.906,7.960,,,20.0
1771791049.340,0,,,-9.704,11.189,15.634,7.996,177.054,309.740,,0.950,40.3979445,-8.1810960,9,1,5.856,7.996,,,20.0
1771791049.390,0,,,-10.243,11.810,16.457,8.031,177.073,309.740,,1.000,40.3979501,-8.1811023,9,1,5.806,8.031,,,20.0
1771791049.440,0,,,-10.782,12.432,17.279,8.067,177.091,309.740,,1.050,40.3979557,-8.1811087,9,1,5.757,8.067,,,20.0
1771791049.490,0,,,-11.322,13.053,18.102,8.103,177.110,309.740,,1.100,40.3979613,-8.1811151,9,1,5.707,8.103,0.063,0.074,20.0
1771791049.540,0,,,-11.861,13.675,18.925,8.138,177.129,309.740,,1.150,40.3979669,-8.1811214,9,1,5.657,8.138,0.062,0.074,20.0
1771791049.590,0,,,-12.400,14.296,19.748,8.174,177.147,309.740,,1.200,40.3979725,-8.1811278,9,1,5.607,8.174,0.061,0.074,20.0
1771791049.640,0,,,-12.939,14.918,20.571,8.210,177.166,309.740,,1.250,40.3979781,-8.1811342,9,1,5.558,8.210,0.060,0.075,20.0
1771791049.690,0,,,-13.478,15.540,21.393,8.246,177.184,309.740,,1.300,40.3979837,-8.1811405,9,1,5.508,8.246,0.060,0.075,20.0
1771791049.740,0,,,-14.017,16.161,22.216,8.281,177.203,309.740,,1.350,40.3979893,-8.1811469,10,1,5.458,8.281,0.059,0.075,20.0
1771791049.790,0,,,-14.556,16.783,23.039,8.317,177.222,309.740,,1.400,40.3979949,-8.1811533,10,1,5.409,8.317,0.059,0.075,20.0
