This file is created using RaceChrono v9.1.3 ( http://racechrono.com/ ).
Format,2,"Format 1 = static columns","Format 2 = new format with dynamic columns; only channel header string is fixed, number of columns and channels' column numbers are variable."
Session title,"Novo circuito (1)"
Session type,Lap timing
Track name,"Novo circuito (1)"
Driver name,
Export scope,Session start
Created,22/02/2026,20:55
Note,

Time (s),Session fragment #,Lap #,Trap name,X-position (m),Y-position (m),Distance (m),Speed (m/s),Altitude (m),Bearing (deg),Device update rate (Hz),Elapsed time (s),Latitude (deg),Longitude (deg),Satellites (sats),Fix type,Accuracy (m),Speed (m/s) *calc,Lateral acceleration (G) *calc,Longitudinal acceleration (G) *calc,Device update rate (Hz) *calc
1771793718.693,0,,,-0.000,-0.000,1.084,8.138,19.715,271.780,,0.050,40.2144202,-8.4512119,4,1,8.365,8.138,,,20.0
1771793718.743,0,,,-1.012,0.389,2.168,8.261,20.630,271.780,,0.100,40.2144237,-8.4512238,4,1,8.330,8.261,,,20.0
1771793718.793,0,,,-2.024,0.778,3.252,8.385,21.545,271.780,,0.150,40.2144272,-8.4512358,4,1,8.295,8.385,,,20.0
1771793718.843,0,,,-3.036,1.168,4.337,8.508,22.460,271.780,,0.200,40.2144307,-8.4512477,4,1,8.260,8.508,,,20.0
1771793718.893,0,,,-4.047,1.557,5.421,8.632,23.375,271.780,,0.250,40.2144342,-8.4512596,4,1,8.225,8.632,,,20.0
1771793718.943,0,,,-5.059,1.946,6.505,8.755,24.290,271.780,,0.300,40.2144377,-8.4512715,4,1,8.190,8.755,,,20.0
1771793718.993,0,,,-6.071,2.335,7.589,8.879,25.205,271.780,,0.350,40.2144412,-8.4512834,4,1,8.155,8.879,,,20.0
1771793719.043,0,,,-7.083,2.724,8.673,9.002,26.120,271.780,,0.400,40.2144447,-8.4512953,4,1,8.120,9.002,,,20.0
1771793719.093,0,,,-8.095,3.113,9.757,9.126,27.035,271.780,,0.450,40.2144482,-8.4513073,4,1,8.085,9.126,0.101,0.252,20.0
1771793719.143,0,,,-9.107,3.503,10.842,9.250,27.950,271.780,,0.500,40.2144517,-8.4513192,4,1,8.050,9.250,0.100,0.252,20.0
1771793719.193,0,,,-10.119,3.892,11.926,9.373,28.865,271.780,,0.550,40.2144552,-8.4513311,4,1,8.015,9.373,0.099,0.253,20.0
1771793719.243,0,,,-11.131,4.281,13.010,9.497,29.780,271.780,,0.600,40.2144587,-8.4513430,4,1,7.980,9.497,0.098,0.253,20.0
1771793719.293,0,,,-12.142,4.670,14.094,9.620,30.695,271.780,,0.650,40.2144622,-8.4513549,4,1,7.945,9.620,0.098,0.253,20.0
1771793719.343,0,,,-13.154,5.059,15.178,9.744,31.610,271.780,,0.700,40.2144657,-8.4513668,4,1,7.910,9.744,0.097,0.253,20.0
1771793719.393,0,,,-14.166,5.449,16.262,9.867,32.525,271.780,,0.750,40.2144692,-8.4513788,4,1,7.875,9.867,0.096,0.253,20.0
1771793719.443,0,,,-15.178,5.838,17.346,9.991,33.440,271.780,,0.800,40.2144727,-8.4513907,4,1,7.840,9.991,0.096,0.254,20.0
1771793719.493,0,,,-16.190,6.227,18.431,10.114,34.355,271.780,,0.850,40.2144762,-8.4514026,4,1,7.805,10.114,0.095,0.254,20.0
1771793719.543,0,,,-17.202,6.616,19.515,10.238,35.270,271.780,,0.900,40.2144797,-8.4514145,4,1,7.770,10.238,0.094,0.254,20.0
